,0
0,start
1,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,start
13,1
14,1
15,1
16,1
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,start
28,1
29,1
30,1
31,1
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,dump
43,dump
44,dump
45,start
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,dump
57,dump
58,dump
59,dump
60,dump
61,dump
62,dump
63,dump
64,dump
65,dump
66,dump
67,dump
68,start
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,start
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,start
94,dump
95,dump
96,dump
97,dump
98,dump
99,dump
100,dump
101,dump
102,dump
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,start
115,1
116,1
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,start
129,1
130,1
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,1
141,1
142,start
143,1
144,1
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,dump
156,dump
157,dump
158,dump
159,dump
160,dump
